Employee_ID,Name,Working_Days,Target_Sales,Actual_Sales,Customer_Satisfaction_Score,Policy_Compliance,Low_Working_Days,Target_Not_Met,Low_Customer_Satisfaction,Non_Compliance_Reason,Month,Document_ID,File_Type,Upload_Timestamp,Chat_Log,Compliance_Flag_Probability,Flag_Confidence_Score,Workflow_Status
1,Ahmed Tariq,21,14435,19470,2.3,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,March,781197,Word,2024-01-01 00:00:00,Request for policy exception,0.6,1.0,Flagged
2,Usman Iqbal,18,9998,9968,3.0,No,TRUE,FALSE,TRUE,"Low Working Days, Low Customer Satisfaction",December,771946,Word,2024-01-01 00:01:00,General inquiry,0.56,0.79,Flagged
3,Fatima Khan,27,5162,11493,3.3,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,February,826726,Excel,2024-01-01 00:02:00,Client discussed privacy concerns,0.52,0.98,Resolved
4,Zain Tariq,29,6974,8103,2.8,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,May,394250,Word,2024-01-01 00:03:00,General inquiry,0.52,0.87,Flagged
5,Ahmed Malik,25,8291,6076,3.7,No,FALSE,TRUE,TRUE,"Target Not Met, Low Customer Satisfaction",February,773006,PDF,2024-01-01 00:04:00,Client discussed privacy concerns,0.52,0.76,Flagged
6,Ali Chaudhry,22,13461,6994,2.2,No,FALSE,TRUE,TRUE,"Target Not Met, Low Customer Satisfaction",April,157244,Excel,2024-01-01 00:05:00,Request for policy exception,0.53,0.94,Resolved
7,Usman Raza,27,5631,7744,2.4,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,December,967581,PDF,2024-01-01 00:06:00,Request for policy exception,0.84,0.74,Flagged
8,Fatima Chaudhry,19,5905,18466,4.1,No,TRUE,FALSE,FALSE,Low Working Days,June,479260,PDF,2024-01-01 00:07:00,Request for policy exception,0.89,0.8,Resolved
9,Bilal Javed,21,16663,18523,2.4,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,November,189949,Excel,2024-01-01 00:08:00,General inquiry,0.58,0.71,Resolved
10,Zain Malik,24,16445,9594,3.9,No,FALSE,TRUE,TRUE,"Target Not Met, Low Customer Satisfaction",June,410028,PDF,2024-01-01 00:09:00,Client discussed privacy concerns,0.55,0.98,Resolved
11,Zain Malik,17,7014,11531,2.2,No,TRUE,FALSE,TRUE,"Low Working Days, Low Customer Satisfaction",April,859535,Word,2024-01-01 00:10:00,General inquiry,0.75,0.84,Flagged
12,Fatima Khan,21,14833,11371,3.2,No,FALSE,TRUE,TRUE,"Target Not Met, Low Customer Satisfaction",November,464793,Word,2024-01-01 00:11:00,General inquiry,0.59,0.88,Reviewed
13,Sara Khan,25,12896,18547,2.5,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,February,600546,Excel,2024-01-01 00:12:00,Request for policy exception,0.79,0.97,Reviewed
14,Fatima Nadeem,25,5204,7144,2.3,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,October,340063,Excel,2024-01-01 00:13:00,General inquiry,0.86,0.71,Resolved
15,Hassan Iqbal,22,5581,17990,3.7,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,July,274009,Word,2024-01-01 00:14:00,Client discussed privacy concerns,0.93,0.8,Reviewed
16,Hassan Raza,19,10675,18083,4.8,No,TRUE,FALSE,FALSE,Low Working Days,July,607632,Word,2024-01-01 00:15:00,Client discussed privacy concerns,0.79,0.82,Resolved
17,Zain Tariq,18,14032,20626,2.2,No,TRUE,FALSE,TRUE,"Low Working Days, Low Customer Satisfaction",March,680132,PDF,2024-01-01 00:16:00,Client discussed privacy concerns,0.87,0.91,Resolved
18,Zain Chaudhry,22,19124,11954,3.3,No,FALSE,TRUE,TRUE,"Target Not Met, Low Customer Satisfaction",November,177134,Word,2024-01-01 00:17:00,Client discussed privacy concerns,0.97,0.89,Flagged
19,Sara Butt,22,10347,11269,4.1,Yes,FALSE,FALSE,FALSE,,March,214833,PDF,2024-01-01 00:18:00,General inquiry,0.71,0.9,Resolved
20,Usman Iqbal,17,14911,11130,3.4,No,TRUE,TRUE,TRUE,"Low Working Days, Target Not Met, Low Customer Satisfaction",January,258818,Word,2024-01-01 00:19:00,Client discussed privacy concerns,0.51,0.73,Reviewed
21,Maira Butt,20,18930,10828,4.4,No,FALSE,TRUE,FALSE,Target Not Met,July,770057,Excel,2024-01-01 00:20:00,Client discussed privacy concerns,0.95,0.97,Resolved
22,Ahmed Iqbal,19,7643,12844,2.5,No,TRUE,FALSE,TRUE,"Low Working Days, Low Customer Satisfaction",November,728515,Word,2024-01-01 00:21:00,General inquiry,0.62,0.85,Resolved
23,Aisha Malik,16,13017,18220,4.9,No,TRUE,FALSE,FALSE,Low Working Days,July,534163,Excel,2024-01-01 00:22:00,Request for policy exception,0.89,1.0,Flagged
24,Usman Chaudhry,22,7297,10331,3.2,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,December,393153,PDF,2024-01-01 00:23:00,Request for policy exception,0.95,0.9,Resolved
25,Sara Raza,26,5874,17397,3.0,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,September,998498,Excel,2024-01-01 00:24:00,General inquiry,0.65,1.0,Flagged
26,Aisha Chaudhry,28,10560,21883,4.6,Yes,FALSE,FALSE,FALSE,,October,938836,Excel,2024-01-01 00:25:00,General inquiry,0.75,0.98,Flagged
27,Aisha Javed,20,19531,14291,3.7,No,FALSE,TRUE,TRUE,"Target Not Met, Low Customer Satisfaction",May,865875,Excel,2024-01-01 00:26:00,Client discussed privacy concerns,0.5,0.72,Resolved
28,Ali Iqbal,16,5689,14164,3.5,No,TRUE,FALSE,TRUE,"Low Working Days, Low Customer Satisfaction",December,939294,PDF,2024-01-01 00:27:00,Request for policy exception,0.9,0.84,Resolved
29,Fatima Khan,30,9000,14450,4.2,Yes,FALSE,FALSE,FALSE,,January,941302,Word,2024-01-01 00:28:00,Request for policy exception,0.84,0.7,Reviewed
30,Ali Raza,26,19298,6035,3.7,No,FALSE,TRUE,TRUE,"Target Not Met, Low Customer Satisfaction",January,402978,PDF,2024-01-01 00:29:00,Client discussed privacy concerns,0.77,0.79,Resolved
31,Sara Butt,19,16333,15463,2.5,No,TRUE,FALSE,TRUE,"Low Working Days, Low Customer Satisfaction",March,877764,Word,2024-01-01 00:30:00,Client discussed privacy concerns,0.72,0.73,Resolved
32,Zain Chaudhry,15,19974,11977,4.0,No,TRUE,TRUE,FALSE,"Low Working Days, Target Not Met",October,212944,Word,2024-01-01 00:31:00,General inquiry,0.66,0.78,Resolved
33,Maira Chaudhry,26,14614,21241,2.4,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,March,921257,Word,2024-01-01 00:32:00,General inquiry,0.52,0.76,Reviewed
34,Zain Raza,24,19289,16182,4.4,Yes,FALSE,FALSE,FALSE,,March,312255,Word,2024-01-01 00:33:00,Client discussed privacy concerns,0.7,0.72,Resolved
35,Sara Iqbal,20,5671,4298,5.0,No,FALSE,TRUE,FALSE,Target Not Met,May,920473,Excel,2024-01-01 00:34:00,Client discussed privacy concerns,0.94,0.92,Resolved
36,Hassan Raza,27,12927,4923,3.1,No,FALSE,TRUE,TRUE,"Target Not Met, Low Customer Satisfaction",May,233070,Word,2024-01-01 00:35:00,General inquiry,0.94,0.81,Resolved
37,Aisha Iqbal,26,6171,17331,3.3,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,September,932268,Excel,2024-01-01 00:36:00,General inquiry,0.78,0.76,Reviewed
38,Ahmed Tariq,23,10591,10578,2.1,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,July,551270,Excel,2024-01-01 00:37:00,General inquiry,0.74,0.86,Resolved
39,Hassan Sheikh,15,16918,8875,2.0,No,TRUE,TRUE,TRUE,"Low Working Days, Target Not Met, Low Customer Satisfaction",November,739569,Word,2024-01-01 00:38:00,Client discussed privacy concerns,0.54,0.86,Flagged
40,Hassan Nadeem,25,14135,16254,4.8,Yes,FALSE,FALSE,FALSE,,January,412138,PDF,2024-01-01 00:39:00,General inquiry,0.55,0.91,Flagged
41,Sara Raza,25,11342,14905,2.4,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,June,236099,Excel,2024-01-01 00:40:00,General inquiry,0.69,0.99,Resolved
42,Usman Javed,29,6449,17353,3.3,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,September,105467,Excel,2024-01-01 00:41:00,Request for policy exception,0.92,0.73,Reviewed
43,Aisha Raza,24,16929,19882,4.4,Yes,FALSE,FALSE,FALSE,,July,992801,Excel,2024-01-01 00:42:00,Client discussed privacy concerns,0.84,0.94,Flagged
44,Ali Butt,30,7539,13663,4.7,Yes,FALSE,FALSE,FALSE,,July,894352,PDF,2024-01-01 00:43:00,Request for policy exception,0.76,0.71,Resolved
45,Sara Chaudhry,26,8959,4941,3.6,No,FALSE,TRUE,TRUE,"Target Not Met, Low Customer Satisfaction",January,228021,PDF,2024-01-01 00:44:00,Client discussed privacy concerns,0.85,0.79,Flagged
46,Ali Javed,26,18183,5907,3.7,No,FALSE,TRUE,TRUE,"Target Not Met, Low Customer Satisfaction",July,516629,Excel,2024-01-01 00:45:00,General inquiry,0.59,0.88,Resolved
47,Ali Tariq,30,11285,8837,4.0,No,FALSE,TRUE,FALSE,Target Not Met,June,453877,Word,2024-01-01 00:46:00,General inquiry,0.68,0.85,Reviewed
48,Bilal Malik,29,10432,17680,4.9,Yes,FALSE,FALSE,FALSE,,November,440146,PDF,2024-01-01 00:47:00,Client discussed privacy concerns,0.62,0.85,Flagged
49,Bilal Raza,28,9260,21627,3.8,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,November,409901,Word,2024-01-01 00:48:00,General inquiry,0.87,0.82,Flagged
50,Usman Nadeem,28,7361,9696,3.7,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,September,168215,PDF,2024-01-01 00:49:00,General inquiry,0.58,0.74,Flagged
51,Zain Iqbal,29,11164,20226,2.0,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,November,700576,Excel,2024-01-01 00:50:00,General inquiry,0.82,1.0,Reviewed
52,Sara Iqbal,28,18393,17543,2.2,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,June,228031,Word,2024-01-01 00:51:00,Request for policy exception,0.63,0.74,Reviewed
53,Fatima Khan,17,16844,16615,3.7,No,TRUE,FALSE,TRUE,"Low Working Days, Low Customer Satisfaction",August,669228,Word,2024-01-01 00:52:00,General inquiry,0.73,0.99,Resolved
54,Maira Raza,26,8670,5466,4.8,No,FALSE,TRUE,FALSE,Target Not Met,October,355643,Word,2024-01-01 00:53:00,Client discussed privacy concerns,0.54,0.99,Resolved
55,Hassan Javed,21,6753,4375,4.6,No,FALSE,TRUE,FALSE,Target Not Met,December,350450,Word,2024-01-01 00:54:00,Client discussed privacy concerns,0.93,0.9,Resolved
56,Hassan Khan,18,13100,4262,4.9,No,TRUE,TRUE,FALSE,"Low Working Days, Target Not Met",February,224038,Excel,2024-01-01 00:55:00,Request for policy exception,0.61,0.99,Reviewed
57,Maira Khan,30,15544,15580,3.6,No,FALSE,FALSE,TRUE,Low Customer Satisfaction,June,792620,Excel,2024-01-01 00:56:00,Client discussed privacy concerns,0.67,0.86,Resolved
58,Aisha Tariq,23,6938,14136,4.4,Yes,FALSE,FALSE,FALSE,,March,245461,PDF,2024-01-01 00:57:00,General inquiry,0.57,0.83,Resolved
59,Ali Khan,17,13562,11833,4.5,No,TRUE,FALSE,FALSE,Low Working Days,April,708087,Word,2024-01-01 00:58:00,General inquiry,0.75,0.94,Reviewed
